date,precision_code,precision,region,location,pleiades_name,pleiades_id,lat,lng,title,imprint,series,shelf_location,bsn
Oct-16,3,Region,Iran,(General),,,32,54,"Fihrist-i tawṣīfī-i ganjīnah-i dastnivīsʹhā-yi Pahlavī va pizhūhishʹhā-yi Īrānī = A descriptive catalogue of ""The Pahlavi codics and Iranian researches"" / Mīnā Kāmbīn. // فهرست توصيفى گنجينه دستنويس‌هاى پهلوى و پژوهش‌هاى ايرانى =A descriptive catalogue of ""The Pahlavi codics and Iranian researches"" / مينا کامبين.",,Yādgār-i bāstān ;4 // يادگار باستان ؛4,Small Collection: PK6192 .K36 2015 ,4282780
Oct-16,1,Site,Turkey,Smyrna (Basilica in the Agora),Smyrna/Eurydikeia,550893,38.419397,27.139298,"Graffiti from the Basilica in the Agora of Smyrna / edited by Roger S. Bagnall, Roberta Casagrande-Kim, Akın Ersoy, and Cumhur Tanrıver, with a contribution by Burak Yolaçan.",,,Large Collection: DS51.I9 G73 2016 ,4494355
Oct-16,3,Region,Georgia (Republic),(General),,,42,43.5,"Gruzinskai͡a literatura / A.G. Baramidze, D.M. Gamezardashvili. // Грузинская литература / А.Г. Барамидзе, Д.М. Гамезардашвили.","Tbilisi : Izd. Tbilis. unt-ta, 1968.",,Small Collection: PK9160 .B23 1968 ,4500241
Oct-16,1,Site,Iran,Hajji Firuz Tepe,Hajji Firuz tepe,874497,37.003386,45.492716,"Hajji Firuz Tepe, Iran : the Neolithic settlement / Mary M. Voigt ; Faunal remains, by Richard H. Meadow ; contributions by Jean Turnquist, John Winter, and Eric Parkinson.","Philadelphia : University Museum, University of Pennsylvania, 1983.",Hasanlu excavation reports ;v. 1 // University Museum monograph ;50,Large Collection: GN776.32.I7 V64 1983 ,2770142
Oct-16,3,Region,Iran,(General),,,32,54,"In search of a cultural identity : monuments and artifacts of the Sasanian Near East, 3rd to 7th century A.D. / by Prudence O. Harper.","New York : Bibliotheca Persica, 2006.",Biennial Ehsan Yarshater lecture series ;no. 2,Small Collection: N7283 .H345 2006 ,327965
Oct-16,4,Broad region,Middle East,(General),,,29.3,42.5,"Islamic art and architecture, 650-1250 / Richard Ettinghausen, Oleg Grabar and Marilyn Jenkins-Madina.","New Haven ; London : Yale University Press, 2001.",Yale University Press Pelican history of art,Large Collection: N6260 .E79 2001 ,722009
Oct-16,3,Region,Ukraine,Black Sea Lowland,,,47.15,34.4,Issledovanii͡a po antichnoĭ arkheologii Severnogo Prichernomorʹi͡a : sbornik nauchnykh trudov / [otvetstvennyĭ redaktor V.A. Anokhin]. // Исследования по aнтичной aрхeoлoгии Сeвeрного Причeрноморья : сборник нaучных трудов / [oтветственный рeдaктор В.A. Aнoхин].,"Kiev : ""Nauk. dumka"", 1980.",,Small Collection: DK509 .I85 1980 ,4499412
Oct-16,3,Region,Iran,Media,Media/Mad(aya),903080,34.5,46.5,Istorii͡a Midii : ot drevneĭshikh vremen do kont͡sa IV veka do n. ė. / I.M. Dʹi͡akonov ; pod redakt͡sieĭ S.R. Tokhtasʹeva i V.A. I͡Akobsona. // История Мидии : от древнейших времен до конца IV века до н. э. / И.М. Дьяконов ; под редакцией С.Р. Тохтасьева и В.А. Якобсона.,"Sankt-Peterburg : Filologicheskiĭ fakulʹtet Sankt-Peterburgskogo gos. universiteta, 2008.","Serii͡a ""Istoricheskie issledovanii͡a"" // Серия ""Исторические исследования""",Small Collection: DS278 .D53 2008 ,4498809
Oct-16,3,Region,Russia,Minusinsk Basin,,,53.7,91.6833,Khronologii͡a pami͡atnikov karasukskoĭ ėpokhi / N.L. Chlenova. // Хрoнoлoгия пaмятников карасукской эпохи / Н.Л. Члeнoвa.,"Moskva : ""Nauka"", 1972.",Materialy i issledovanii͡a po arkheologii SSSR ;no. 182,Large Collection: DK30 .M3 no.182 ,4494296
Oct-16,3,Region,Black Sea Region,(General),Pontus Euxinus,1224,43.0786852,34.7425505,"Kulʹtura i iskusstvo Prichernomorʹi͡a v antichnui͡u ėpokhu : vystavka iz sobraniĭ muzeev Bolgarii, Rumynii i Sovetskogo Soi͡uza : katalog vystavki / [otvetstvennyĭ za vypusk A.K. Korovina]. // Kультурa и искусство Причерноморья в aнтичную эпоху : выставка из собраний музеев Бoлгарии, Румынии и Сoветского Сoюзa : кaтaлог выставки / [oтветственный за выпуск A.K. Koрoвинa].","Moskva : Sov. khudozhnik, 1983.",,Large Collection: N5604.S65 M65 1983 ,4499731
Oct-16,3,Region,Mongolia,(General),,,46.5,104.5,Kulʹtura khunnov i noinulinskie kurgany / S.I. Rudenko. // Культура хуннов и ноинулинские курганы / С.И. Руденко.,"Moskva ; Leningrad : Izd-vo Akademii nauk SSSR, 1962.",,Large Collection: D141 .R8 1962 ,4494294
Oct-16,4,Broad region,Central Asia,(General),,,45.450688,68.831901,Kulʹtura pastusheskikh plemen ėpokhi bronzy Aziatskoĭ chasti SSSR : po metallicheskim izdelii͡am / N.A. Avanesova. // Kультура пaстушеских племен эпохи бронзы Aзиатской частиi СССР : пo металлическим изделиям / Н.A. Avanesova.,"Tashkent : Izd-vo ""Fan"" UzSSR, 1991.",,Large Collection: GN778.32.A783 A93 1991 ,4497909
Oct-16,3,Region,Russia,Orenburg Oblast--Pokrovka,,,50.918118,54.516495,"Kurgany levoberezhnogo Ileka / [otvetstvennyĭ redaktor L.T. I͡Ablonskiĭ ; chertezhi i risunki vypolneny E. Bykovskai͡a, D. Naan]. // Курганы левобережного Илека / [ответственный редактор Л.Т. Яблонский ; чертежи и рисунки выполнены Е. Быковская, Д. Наан].","Moskva : In-t arkheologii RAN, 1993-",,Large Collection: GN778.22.R9 K83 1993 vyp.4,3714052
Oct-16,4,Broad region,Central Asia,(General),,,45.450688,68.831901,"L'Asie centrale préislamique : bibliographie critique, 1977-1986 / Frantz Grenet et collaborateurs.","Téhéran ; Paris : Institut français de recherche en Iran, ©1988.","Abstracta Iranica. Volume hors série,0240-8910 ;3",Small Collection: Z3414.A8 G73 1988 ,701769
Oct-16,3,Region,Caucasus ,(General),,,42.261111,44.121111,La mémoire indo-européenne du Caucase / Georges Charachidzé.,"[Paris?] : Hachette, c1987.",Textes du XXe siècle,Small Collection: BL980.C38 C43 1987 ,1894877
Oct-16,3,Region,Georgia (Republic),(General),,,42,43.5,Lives and legends of the Georgian saints / selected and translated from the original texts by David Marshall Lang.,"London : Allen & Unwin ; New York : Macmillan, 1956.","Ethical and religious classics of East and West,no. 15",Small Collection: BX669.A1 L3 1956 ,2471810
Oct-16,2,City,Syria,Mari,,286681704,34.3,40.5,"Mari, annales de recherches interdisciplinaires.","Paris : Editions Recherche sur les civilisations, 1982-1997.",,Large Collection: DS99.M3 M33 t.1 (1982),2808662
Oct-16,1,Site,Uzbekistan,"Tagisken, Northern",,,,,"Mavzolei Severnogo Tagiskena : Pozdniĭ bronzovyĭ vek Nizhneĭ Syrdarʹi / M.A Itina, i L.T. I͡Ablonskiĭ. // Maвзолеи Сeвeрного Taгискена : Пoздний бронзовый вeк Нижней Сырдарьи / M.A. Итина, Л.Т. Яблонский.","Moskva : Izdatelʹskai͡a firma ""Vostochnai͡a literatura RAN"", 2001.",,Large Collection: GN855.S9 I85 2001 ,4499164
Oct-16,3,Region,Iraq,Euphrates River,Euphrates,912849,33.82173363,42.27809202,"Mémoires d'Euphrate et d'Arabies / photographies Jean-Louis Nou ; textes, Pierre Amiet [and others].","Paris : Hatier, 1991.",Art et archéologie au Proche-Orient,Oversize Collection: N7265 .M46 1991 ,2332690
Oct-16,3,Region,Iraq,Mesopotamia,,981534,34,44,Mesopotamii͡a i Iran v VII-IV vv. do n.ė. : sot͡sialʹnye instituty i ideologii͡a / M.A. Dandamaev. // Месопотамия и Иран в VII-IV вв. до н.э. : социальные институты и идеология / М.А. Дандамаев.,"Sankt-Peterburg : Fakulʹtet filologii i isskusstv SPbGU, 2009.","Serii͡a ""Istoricheskie issledovanii͡a"" // Серия ""Исторические исследования""",Small Collection: DS71 .D363 2009 ,4498794
Oct-16,4,Broad region,Middle East,(General),,,29.3,42.5,Methoden zur Restaurierung von ungebrannten und gebrannten Keilschrifttafeln : gestern und heute / Carmen Gütschow.,,Berliner Beiträge zum Vorderen Orient ;Bd. 22,Small Collection: CC137.C5 G88 2012 ,4499403
Oct-16,3,Region,Georgia (Republic),(General),,,42,43.5,Monumentum Gregorianum : сборник нaучных статей пaияти aкaдемикa Григория Максимовичa Бонгард-Левинa / oтв. рeдaктoр A.И. Ивaнчик. // Monumentum Gregorianum : sbornik nauchnykh stateĭ pami͡ati akademika Grigorii͡a Maksimovicha Bongard-Levina / otv. redaktor A.I. Ivanchik.,,,Small Collection: CB311 .M65 2013 ,4499686
Oct-16,2,City,France,Lyon,Col. Lugdunum,167717,45.76209578,4.822438025,New approaches to Sidonius Apollinaris / edited by Johannes A. van Waarden and Gavin Kelly.,,Late antique history and religion ;7,Small Collection: PA6694.S8 N48 2013 ,3999316
Oct-16,3,Region,Ukraine,(General),,,49,32,"Novye metody arkheologicheskikh issledovaniĭ : sbornik nauchnykh trudov / [redkollegii͡a V.F. Gening (otvetstvennyĭ redaktor), E.P. Buni͡ati͡an, S.V. Smirnov]. // Новые методы археологических исследований : сборник научных трудов / [редколлегия В.Ф. Генинг, Е.П. Бунятян, С.В. Смирнов).","Kiev : Nauk. dumka, 1982.",,Small Collection: CC75 .N68 1982 ,4500510
Oct-16,3,Region,Turkey,(General),,,39,35,Ocherki sot͡sialʹno-politicheskoĭ istrorii Maloa Azii v I-III vv. : (nezavisimai͡a selʹskai͡a obshchina) / E.S. Golubt͡sova. // Очерки социально-политической истории Малой Азии в I-III вв. : (независимая сельская община) / Е.С. Голубцова.,"Moskva : Izd-vo Akad. nauk SSSR, 1962.",,Small Collection: DS155 .G653 1962 ,4500216
Oct-16,2,City,Italy,Rome,,423025,#N/A,12.4861685,On the constitution of the art of medicine ;The art of medicine ; A method of medicine to Glaucon / Galen ; edited and translated by Ian Johnston.,,Loeb classical library ;523,Reference 3 Collection: PA3612.G3 G35 2016 ,4263410
Oct-16,5,No precision,(Cross-cultural),(General),,,#N/A,19,On the theory and practice of archaeological computing / edited by Gary Lock and Kayt Brown.,Oxford [England] : Oxford University Committee for Archaeology : Distributed by Oxford Books ; Bloom,Monograph ;no. 51,Small Collection: CC80.4 .O5 2000 ,4499310
